year,rank,title,artist,qkey,a0,t0,total,ttr,entropy,hhi,max_p,bow_tid,match_score,artist_mxm,title_mxm
2015,56,Love Me Harder,Ariana Grande and The Weeknd,love me harder ariana grande and the weeknd,a,love,539,0.4007421150278293,4.647208131503418,0.020167216827699126,0.07050092764378478,TRXBMMM128F9335257,82.35294117647058,AZ,Love Me
2015,60,Uma Thurman,Fall Out Boy,uma thurman fall out boy,f,uma,153,0.4117647058823529,3.8173897387896036,0.031739929087103214,0.09803921568627451,TRGFWBN128F42385EA,77.41935483870968,Fall Out Boy,Golden
2015,86,Ayo,Chris Brown and Tyga,ayo chris brown and tyga,c,ayo,609,0.20361247947454844,4.039750946423353,0.037297677691766465,0.12643678160919541,TRPQDUT128F426093B,84.61538461538461,Chris Brown,With You
2015,90,Chandelier,Sia,chandelier sia,s,chandelier,235,0.32340425531914896,3.8097281160646497,0.03833408782254411,0.14042553191489363,TRIWUJT128F92CA7E9,83.33333333333333,Senses Fail,Chandelier
2017,72,What Ifs,Kane Brown featuring Lauren Alaina,what ifs kane brown lauren alaina,k,what,364,0.23626373626373626,3.658170323162489,0.046824055065813205,0.13736263736263737,TRJKOKQ128F429C573,85.71428571428571,Kane,What If
2017,79,Magnolia,Playboi Carti,magnolia playboi carti,p,magnolia,190,0.5052631578947369,4.168269705468106,0.024875346260387836,0.08421052631578947,TRWZZXK128F9338513,76.19047619047619,Poco,Magnolia
2017,84,What About Us,P!nk,what about us p nk,p,what,197,0.48223350253807107,4.104530399294677,0.025741451725115348,0.06598984771573604,TRVANGN128F4231E22,83.87096774193549,Patrick Nuo,What About Us
2017,99,Look at Me!,XXXTentacion,look at me xxxtentacion,x,look,94,0.5531914893617021,3.66137692084869,0.03485740153915806,0.0851063829787234,TRNAFSA128F9350AD9,76.92307692307692,Psapp,Look at Me
2017,100,The Fighter,Keith Urban featuring Carrie Underwood,the fighter keith urban carrie underwood,k,the,263,0.3650190114068441,4.197911517615629,0.02086194682589026,0.060836501901140684,TRSQKCP128F1488E71,76.92307692307692,Keith Urban,The Hard Way
2018,40,Pray for Me,The Weeknd and Kendrick Lamar,pray for me the weeknd and kendrick lamar,t,pray,145,0.38620689655172413,3.8318261085944285,0.025731272294887062,0.05517241379310345,TRXATBK128F92F7AAE,76.92307692307692,The Jayhawks,Pray for Me
2018,65,How Long,Charlie Puth,how long charlie puth,c,how,93,0.5913978494623656,3.6755300596759395,0.03757659845068796,0.0967741935483871,TRXQLSV128F92F021D,80.0,Cog,How Long
2018,85,Say Something,Justin Timberlake featuring Chris Stapleton,say something justin timberlake chris stapleton,j,say,515,0.2757281553398058,4.479467433374924,0.017958337260816318,0.07378640776699029,TRWLLMH128F1463ACB,81.25,James,Say Something
2019,51,Wake Up in the Sky,"Gucci Mane, Bruno Mars and Kodak Black",wake up in the sky gucci mane bruno mars and kodak black,g,wake,307,0.2931596091205212,3.8367187320859637,0.03459983660304095,0.08143322475570032,TRSMSSY128F92F425B,77.77777777777777,Gob,Wake Up
2019,66,Murder on My Mind,YNW Melly,murder on my mind ynw melly,y,murder,191,0.5654450261780105,4.319992072753164,0.02124393519914468,0.07853403141361257,TRQYGRE128F42191AE,77.27272727272728,The Hellacopters,Murder on My Mind
2020,18,Everything I Wanted,Billie Eilish,everything i wanted billie eilish,b,everything,178,0.43258426966292135,3.67873030519054,0.05763161217018045,0.19101123595505617,TRWVTCQ128F92E060F,82.6086956521739,Bangles,Everything I Wanted
2020,52,Nobody but You,Blake Shelton and Gwen Stefani,nobody but you blake shelton and gwen stefani,b,nobody,236,0.288135593220339,3.760975570912416,0.03282102844010345,0.07203389830508475,TREQYGT128E07859FA,94.11764705882354,Blake Shelton,Nobody but Me
2020,58,Yummy,Justin Bieber,yummy justin bieber,j,yummy,528,0.16477272727272727,3.622244097024138,0.04398387281910001,0.09659090909090909,TRCLXTI128F932D0C9,81.25,Justin Bieber,One Time
2020,67,All I Want for Christmas Is You,Mariah Carey,all i want for christmas is you mariah carey,m,all,336,0.30357142857142855,4.062531294520083,0.027618339002267622,0.08630952380952381,TRPVQJT128F4279FC5,100.0,Mariah Carey,All I Want for Christmas Is You (So So Def remix) (feat. Jermaine Dupri & Lil Bow Wow)
2020,86,The Scotts,The Scotts (Travis Scott and Kid Cudi),the scotts the scotts travis scott and kid cudi,t,the,318,0.3584905660377358,4.355464156113084,0.01845259285629528,0.0660377358490566,TRINBBG128F93583C0,80.0,Travis,The Fear
2021,12,Stay,The Kid Laroi and Justin Bieber,stay the kid laroi and justin bieber,t,stay,133,0.39849624060150374,3.8403399459111918,0.02425236022386791,0.05263157894736842,TREZEYW128F147356D,76.19047619047619,The Fold,Stay
2021,18,Forever After All,Luke Combs,forever after all luke combs,l,forever,548,0.22992700729927007,4.17643119712949,0.025913740742714103,0.08759124087591241,TRIOUIM128F92FFDC0,77.77777777777777,LFO,Forever
2021,69,Famous Friends,Chris Young and Kane Brown,famous friends chris young and kane brown,c,famous,408,0.3700980392156863,4.398802025614103,0.023728854286812696,0.08823529411764706,TRAWDWZ128F9340E55,87.8048780487805,Chris Brown,Famous Girl
2021,73,Kings & Queens,Ava Max,kings and queens ava max,a,kings,117,0.5128205128205128,3.860620113817526,0.027102052743078368,0.07692307692307693,TRAPYWF128F92F2B78,80.0,Anti-Nowhere League,Kings & Queens
2021,78,All I Want for Christmas Is You,Mariah Carey,all i want for christmas is you mariah carey,m,all,336,0.30357142857142855,4.062531294520083,0.027618339002267622,0.08630952380952381,TRPVQJT128F4279FC5,100.0,Mariah Carey,All I Want for Christmas Is You (So So Def remix) (feat. Jermaine Dupri & Lil Bow Wow)
2021,91,Hell of a View,Eric Church,hell of a view eric church,e,hell,293,0.32764505119453924,4.065472194597472,0.027361996062854468,0.09215017064846416,TRKOZVY12903CFDBD0,80.0,Eric Church,Hell on the Heart
2021,92,Rockin' Around the Christmas Tree,Brenda Lee,rockin' around the christmas tree brenda lee,b,rockin',112,0.48214285714285715,3.7787369083357074,0.02917729591836734,0.08928571428571429,TRNCXQR128F4262F0B,85.71428571428571,Billy Gilman,Rockin' Around the Christmas Tree
2022,65,All I Want for Christmas Is You,Mariah Carey,all i want for christmas is you mariah carey,m,all,336,0.30357142857142855,4.062531294520083,0.027618339002267622,0.08630952380952381,TRPVQJT128F4279FC5,100.0,Mariah Carey,All I Want for Christmas Is You (So So Def remix) (feat. Jermaine Dupri & Lil Bow Wow)
2022,80,Rockin' Around the Christmas Tree,Brenda Lee,rockin' around the christmas tree brenda lee,b,rockin',112,0.48214285714285715,3.7787369083357074,0.02917729591836734,0.08928571428571429,TRNCXQR128F4262F0B,85.71428571428571,Billy Gilman,Rockin' Around the Christmas Tree
2023,26,Ella Baila Sola,Eslabon Armado and Peso Pluma,ella baila sola eslabon armado and peso pluma,e,ella,168,0.2857142857142857,3.414000452845177,0.04669784580498864,0.125,TRKHUXO128F1460EE7,100.0,Ella baila sola,Ella baila sola
2023,30,Vampire,Olivia Rodrigo,vampire olivia rodrigo,o,vampire,88,0.5340909090909091,3.6471348200812947,0.032024793388429736,0.07954545454545454,TRVXNHB128F425BCF1,77.77777777777777,EVE,Vampire
2023,55,All I Want for Christmas Is You,Mariah Carey,all i want for christmas is you mariah carey,m,all,336,0.30357142857142855,4.062531294520083,0.027618339002267622,0.08630952380952381,TRPVQJT128F4279FC5,100.0,Mariah Carey,All I Want for Christmas Is You (So So Def remix) (feat. Jermaine Dupri & Lil Bow Wow)
2023,60,Rockin' Around the Christmas Tree,Brenda Lee,rockin' around the christmas tree brenda lee,b,rockin',112,0.48214285714285715,3.7787369083357074,0.02917729591836734,0.08928571428571429,TRNCXQR128F4262F0B,85.71428571428571,Billy Gilman,Rockin' Around the Christmas Tree
2023,84,Last Christmas,Wham!,last christmas wham,w,last,502,0.21713147410358566,3.915806931090613,0.03235662925985298,0.07768924302788845,TREHFVL128F42597D9,100.0,Wham!,Last Christmas
2024,49,Never Lose Me,Flo Milli,never lose me flo milli,f,never,620,0.3403225806451613,4.181459002685913,0.06494276795005129,0.23548387096774193,TRNVGWB128F931BA46,78.26086956521739,Flo Rida,Never
2024,54,All I Want for Christmas Is You,Mariah Carey,all i want for christmas is you mariah carey,m,all,336,0.30357142857142855,4.062531294520083,0.027618339002267622,0.08630952380952381,TRPVQJT128F4279FC5,100.0,Mariah Carey,All I Want for Christmas Is You (So So Def remix) (feat. Jermaine Dupri & Lil Bow Wow)
2024,57,Vampire,Olivia Rodrigo,vampire olivia rodrigo,o,vampire,88,0.5340909090909091,3.6471348200812947,0.032024793388429736,0.07954545454545454,TRVXNHB128F425BCF1,77.77777777777777,EVE,Vampire
2024,59,Rockin' Around the Christmas Tree,Brenda Lee,rockin' around the christmas tree brenda lee,b,rockin',112,0.48214285714285715,3.7787369083357074,0.02917729591836734,0.08928571428571429,TRNCXQR128F4262F0B,85.71428571428571,Billy Gilman,Rockin' Around the Christmas Tree
2024,65,Save Me,Jelly Roll featuring Lainey Wilson,save me jelly roll lainey wilson,j,save,229,0.4279475982532751,3.8748747743244056,0.04528899143799692,0.13100436681222707,TRBXNZY128F93321EE,77.77777777777777,Jem,Save Me
2024,74,Last Christmas,Wham!,last christmas wham,w,last,502,0.21713147410358566,3.915806931090613,0.03235662925985298,0.07768924302788845,TREHFVL128F42597D9,100.0,Wham!,Last Christmas
